ID,PSET,ALT_PRONOUNCE,PRONOUN,VERB,GENDER,SYLLABARY,PRONOUNCE,ENGLISH,INTRO NOTE,END NOTE
,,Digo:hwe:li de:jigo:lǐ:yé.,,,,ᏗᎪᏪᎵ ᏕᏥᎪᎵᏰᎠ.,Digo:hwe:li de:jigo:lǐ:yéɂa.,I am reading a book.,,
,,,,,,ᏗᎵᏰᏑᎶ ᏓᎩᏲᎱᏏ.,Di:liyè:su:lo dà:giyo:hǔ:sī.,I lost some gloves.,,
,,,,,,ᏅᏩᏙᎯᏯᏓ ᎢᏕᎮᏍᏘ.,Nvwhto:hi:yada ì:dihé:sdi.,Let's all live in peace.,,
,,Uwǒ:tida à:gitsgwalv:tv̋.,,,,ᎤᏬᏘᏓ ᎠᎩᏥᏆᎸᏛᎢ.,Uwǒ:tida à:gitsgwalv:tv̋:ɂi.,My ankle is swollen.,,
,,,,,,ᎦᎪ ᏕᏣᎧᏃᏩᏗᏙᎭ?,Gá:gō de:jakà:no:wadǐ:dô:ha?,Who is looking after you?,,
,,Gà:hi:sgaɂihó:ɂis ju:ganò:ji?; Gà:hi:sgaɂihó:sgo ju:ganò:ji?; Gà:hi:sgaɂihó:s ju:ganò:ji?,,,,ᎦᎯᏍᎦᎰᏍ ᏧᏂᎦᏃᏥ?,Gà:hi:sgaɂihó:ɂisgo ju:ganò:ji?,Are you afraid of centipedes?,,
,,Hè:sdi yije:lǐ:hî:sgé:sdi.,,,,ᏞᏍᏗ ᏱᏤᎵᎯᏍᎨᏍᏗ.,Hlè:sdi yije:lǐ:hî:sgé:sdi.,Don't worry.,,
,,Jayv:hlv̌:ɂis ju:nada:sdù:diɂi?; Jayv:hlv̌:ɂis ju:nada:sdù:di?,,,,ᏣᏴᏢᎢᏍ ᏧᎾᏓᏍᏚᏗ?,Jayv:hlv̌:ɂisgo ju:nada:sdù:diɂi?,Have you been in jail?,,
,,,,,,ᎭᎵᏍᏇᏚᎩ. ᏥᎪᎵᏯ.,Halsgwè:tuhgi. jigo:lǐ:ya.,Take your hat off. Let me look at it.,,
,,Ù:dlé:jv̌ à:jilo:nu:hě:hla.,,,,ᎤᏞᏨ ᎠᏥᎶᏄᎡᏝ.,Ù:dlé:jv̌:ɂi à:jilo:nu:hě:hla.,He took revenge when he was cheated.,,
,,Nű:la. da:ginigo:hnǐ:yô:jis?,,,,"ᏄᎳ, ᏓᎩᏂᎪᏂᏲᏥᏍ.",Nű:la. da:ginigo:hnǐ:yô:jisgo?,Hurry. Will we be late?,,
,,Ù:de:loho:sv̌ a`:jilo:nu:hě:sgv̌:ɂi.; Ù:de:loho:sv̌ a`:jilo:nu:hě:sgv̌.,,,,ᎤᏕᎶᎰᏒ ᎠᏥᎶᏄᎡᏍᎬᎢ.,Ù:de:loho:sv̌:ɂi à:jilo:nu:hě:sgv̌:ɂi.,He found out that he was being cheated.,,
,,Di:da:hli:lò:stanv̋ gatv́sga.,,,,ᏗᏓᏟᎶᏍᏔᏅ ᎦᏛᏍᎦ.,Di:da:hli:lò:stanv̋:ɂi gatv́sga.,He's hanging up a picture.,,
,,Hè:sdi ji:chayvhjinv:tgi.; Hlè:sdi ji:chayvhjinv:tsi.; Hè:sdi ji:chayvhjinv:tsi.,,,,ᏞᏍᏗ ᏥᏣᏴᏥᏅᏘᏏ.,Hlè:sdi ji:chayvhjinv:tgi.,Don't choke on it.,,
,,,,,,ᏧᏓᏅᎦᎸᏓ ᏔᎿᏬᏣ.,Ju:danv:galv̋:da tahnáwo:ja.,Put on some clean clothes.,,
,,,,,,ᎦᏴᎪᎩ ᎧᏃᎮᏟᏙᎰᎢ.,Gayhgò:gi kano:hě:hlǐ:dô:hó:ɂi.,He goes around telling lies.,,
,,,,,,ᎭᎴᏫᏍᏙᏓ ᏓᏆᎴᎳ.,Hale:hwisdohda dagwalé:la.,Stop the car.,,
,,U:de:hǒ:hísdohdi á:nehldí.,,,,ᎤᏕᎰᎯᏍᏙᏗ ᎠᏁᏟᏗᎭ.,U:de:hǒ:hísdohdi á:nehldíha.,He's trying to embarrass him.,,
,,À:tv:gí:ɂas à:hyv:dagwálô:sgv?,,,,ᎭᏛᎩᎠᏍ ᎠᏴᏓᏆᎶᏍᎬ?,À:tv:gí:ɂasgo à:hyv:dagwálô:sgv?,Do you hear it thundering?,,
,,Hlè:sdi hyaljí:kwǐ:dô:hé:sdi.,,,,ᏞᏍᏗ ᏯᎵᏥᏈᏙᎮᏍᏗ.,Hlè:sdi hyaljí:kwǐ:dô:hé:sdi.,Don't go around spitting.,,
,,Kò:sdu dà:kiyv̌:sdô:ysdi:sgó.,,,,ᎪᏍᏚ ᏓᎩᏴᏍᏙᏯᏍᏗᏍᎪᎢ.,Kò:sdu dà:kiyv̌:sdô:ysdi:sgó:ɂi.,Dust makes me sneeze.,,
,,,,,,ᎤᏓᏪᏐᎸᏍᏙᏗ ᎤᏚᎵᎭ.,U:dawè:sǒ:lv́:sdohdi ù:du:líha.,He wants to rest.,,
,,De:kanâ:sde:dlí dù:wá:ɂihlv̋:ɂi.; De:kanâ:sde:dlí dù:wá:ɂihlv̋.,,,,ᏕᎧᎾᏍᏕᏟᎭ ᏚᏩᎢᏢᎢ.,De:kanâ:sde:dlíha dù:wá:ɂihlv̋:ɂi.,He's rooting out bushes.,,
,,,,,,ᏙᏓᎦᎵᏰᏑᎴᏏ. ᏂᎯᎾ?,Do:dagaliyê:su:lé:si. Nihina?,I'm going to take my gloves off. What about you?,,
,,,,,,ᏐᏈᎵ ᏓᎾᏙᎩᏯᏍᏗᎭ.,Sǒ:gwíli dà:natohgǐ:yâ:sdiha.,They're racing horses.,,
,,Sgá:hó:ɂis ahyv:dagwalò:sgi?,,,,ᎯᏍᎦᎰᎢᏍ ᎠᏴᏓᏆᎶᏍᎩ?,Sgá:hó:ɂisgo ahyv:dagwalò:sgi?,Are you afraid of thunder?,,
,,Ju:là:sihde̋:ni dà:ga:nawhdí.,,,,ᏧᎳᏏᏕᏂ ᏓᎦᎾᏬᏗᎭ.,Ju:là:sihde̋:ni dà:ga:nawhdíha.,He's warming his feet.,,
,,,,,,ᎭᎵᏍᎫᏯ ᏕᎭᏓᏂᎸᎨᏍᏗ.,Halsgù:hya de:ha:daní:lv:gé:sdi.,Nod your head if you accept.,,
,,Ò:gina:li̋ wida:jiwhtv:hǐ:dô:li.,,,,ᎣᎩᎾᎵᎢ ᏫᏓᏥᏩᏛᎯᏙᎵ.,Ò:gina:li̋:ɂi wida:jiwhtv:hǐ:dô:li.,I am going to go and visit my friend.,,
,,Dà:gwasuhgahlv̋ de:jinv:galí:ɂa.; Dà:gwasuhgahlv̋ de:jinv:galí.,,,,ᏓᏆᏑᎦᏢ ᏕᏥᏅᎦᎵᎠ.,Dà:gwasuhgahlv̋:ɂi de:jinv:galí:ɂa.,I'm cleaning my fingernails.,,
